Codice Letturista,Data Lettura,Ora Lettura,Latitude,Longitude,Accessibilità
MN0386,2024-05-08,11:05:00,45.1489639,10.7941408,
MN0233,2024-07-08,10:21:00,45.1477419,10.8606561,
MN0525,2024-08-08,12:32:00,45.1460359,10.8027545,
MN0409,2024-08-08,09:13:00,45.1508558,10.7644635,
MN0005,2024-07-08,08:12:00,45.1495525,10.7880442,
MN0536,2024-08-08,09:01:00,45.1466967,10.801411,
MN0005,2024-08-08,08:30:00,45.1500398,10.7923988,
MN0386,2024-05-08,11:08:00,45.1493105,10.7943859,
MN0386,2024-07-08,11:26:00,45.1489001,10.7970569,
MN0386,2024-06-08,11:55:00,45.1526539,10.7961906,
MN0536,2024-08-08,09:07:00,45.1476046,10.7977522,
MN0409,2024-09-08,15:20:00,45.1448125,10.7974836,
MN0386,2024-06-08,08:53:00,45.1509424,10.7940936,
MN0233,2024-08-08,12:41:00,45.1490255,10.792182,
MN0386,2024-07-08,14:04:00,45.1516423,10.7999243,
MN0386,2024-05-08,08:58:00,45.1508447,10.7948665,
MN0005,2024-08-08,11:52:00,45.1511914,10.7923762,
MN0386,2024-08-08,11:04:00,45.1518687,10.8000572,
MN0022,2024-08-08,12:48:00,45.1490568,10.7673175,
MN0022,2024-06-08,09:01:00,45.1449514,10.7688485,
MN0022,2024-09-08,11:06:00,45.1436482,10.7682373,
MN0536,2024-08-08,08:39:00,45.1469647,10.7979425,
MN0409,2024-05-08,08:32:00,45.121633,10.8603736,
MN0022,2024-09-08,08:43:00,45.1517233,10.7684189,
MN0022,2024-05-08,15:10:00,45.1458327,10.7689141,
MN0386,2024-05-08,10:50:00,45.1487695,10.7940412,
MN0022,2024-06-08,12:28:00,45.1412977,10.7680874,
MN0386,2024-05-08,10:46:00,45.1485316,10.7940119,
MN0409,2024-06-08,08:23:00,45.1497478,10.7724503,
MN0022,2024-09-08,09:09:00,45.1515437,10.769652,
MN0386,2024-05-08,10:44:00,45.1485752,10.793844,
MN0409,2024-06-08,11:39:00,45.1505994,10.7709375,
MN0536,2024-07-08,14:31:00,45.1452708,10.8024491,
MN0409,2024-05-08,12:50:00,45.1279388,10.8666865,
MN0005,2024-08-08,14:02:00,45.1510354,10.7928899,
MN0536,2024-08-08,11:31:00,45.1475074,10.7987472,
MN0386,2024-07-08,10:18:00,45.1506994,10.7967656,
MN0386,2024-07-08,09:49:00,45.150825,10.7982582,
MN0005,2024-05-08,12:54:00,45.1499651,10.7835962,
MN0022,2024-05-08,08:20:00,45.1467645,10.7688793,
MN0536,2024-08-08,09:00:00,45.1476542,10.7980826,
MN0386,2024-08-08,11:46:00,45.1511303,10.8002086,
MN0005,2024-05-08,09:11:00,45.149272,10.7877091,
MN0022,2024-07-08,14:42:00,45.1420987,10.7686094,
MN0525,2024-08-08,14:33:00,45.1453135,10.800601,
MN0005,2024-05-08,13:37:00,45.1501162,10.7847299,
MN0233,2024-06-08,10:14:00,45.1550164,10.7978818,
MN0005,2024-05-08,09:14:00,45.1492383,10.787694,
MN0525,2024-08-08,11:20:00,45.1452185,10.8001152,
MN0022,2024-06-08,12:12:00,45.1433158,10.7675841,
MN0409,2024-07-08,13:44:00,45.1503582,10.7721663,
MN0005,2024-07-08,13:02:00,45.148711,10.7912095,
MN0022,2024-08-08,10:34:00,45.1450888,10.766045,
MN0022,2024-06-08,09:55:00,45.1439703,10.767562,
MN0022,2024-08-08,12:12:00,45.1493437,10.771354,
MN0022,2024-08-08,12:14:00,45.149273,10.7713629,
MN0386,2024-09-08,11:24:00,45.1542278,10.7967148,
MN0005,2024-08-08,09:29:00,45.1486189,10.7928539,
MN0409,2024-09-08,14:29:00,45.1400125,10.7664689,
MN0536,2024-08-08,09:56:00,45.147289,10.7970268,
MN0233,2024-07-08,09:57:00,45.1395823,10.8575583,
MN0386,2024-09-08,11:00:00,45.1546445,10.7969365,
MN0525,2024-08-08,09:31:00,45.1470553,10.7996685,
MN0386,2024-06-08,10:52:00,45.1503453,10.7958679,
MN0233,2024-08-08,10:05:00,45.1508512,10.788846,
MN0022,2024-09-08,12:23:00,45.1465794,10.76524,
MN0409,2024-07-08,11:52:00,45.147914,10.7696882,
MN0525,2024-08-08,15:32:00,45.1450441,10.8017457,
MN0525,2024-08-08,08:52:00,45.1462255,10.7995714,
MN0386,2024-08-08,10:58:00,45.1590221,10.8023899,
MN0386,2024-07-08,14:07:00,45.1517359,10.800086,
MN0409,2024-06-08,11:50:00,45.1505298,10.7707291,
MN0233,2024-05-08,10:05:00,45.1550164,10.7978818,
MN0005,2024-07-08,16:39:00,45.1490134,10.7899332,
MN0233,2024-05-08,10:26:00,45.1543304,10.7947363,
MN0536,2024-08-08,08:58:00,45.1466967,10.801411,
MN0386,2024-05-08,10:19:00,45.1489716,10.7958867,
MN0022,2024-08-08,12:47:00,45.1507531,10.7669916,
MN0409,2024-08-08,08:56:00,45.1504042,10.7644123,
MN0386,2024-05-08,11:28:00,45.1493597,10.7944493,
MN0022,2024-06-08,12:35:00,45.1429978,10.7681702,
MN0233,2024-07-08,13:25:00,45.1366024,10.8760264,
MN0386,2024-06-08,10:21:00,45.1496524,10.7957614,
MN0386,2024-05-08,10:59:00,45.1490082,10.7940045,
MN0233,2024-05-08,12:58:00,45.1533814,10.7953159,
MN0233,2024-05-08,12:57:00,45.1533814,10.7953159,
MN0409,2024-07-08,10:13:00,45.1486443,10.7696203,
MN0005,2024-07-08,08:53:00,45.1490745,10.79099,
MN0233,2024-05-08,17:10:00,45.1413172,10.8648588,
MN0409,2024-08-08,12:33:00,45.1498958,10.7639112,
MN0409,2024-08-08,09:28:00,45.1508338,10.7648176,
MN0022,2024-09-08,07:58:00,45.1485823,10.7676357,
MN0409,2024-08-08,09:57:00,45.1505317,10.7649965,
MN0005,2024-05-08,14:12:00,45.1493413,10.78825,
MN0409,2024-08-08,13:34:00,45.1500643,10.7634123,
MN0409,2024-06-08,14:46:00,45.1522465,10.7716411,
MN0022,2024-09-08,11:10:00,45.1460735,10.7660743,
MN0409,2024-06-08,09:17:00,45.1502047,10.7726241,
MN0233,2024-08-08,14:03:00,45.1495701,10.7926533,
MN0386,2024-09-08,10:56:00,45.1552402,10.7976007,
MN0022,2024-06-08,10:47:00,45.1439104,10.7682053,
MN0233,2024-06-08,09:50:00,45.1552767,10.7947093,
MN0386,2024-09-08,09:24:00,45.1535535,10.79566,
MN0409,2024-09-08,12:12:00,45.1476005,10.7570827,
MN0233,2024-05-08,11:34:00,45.1549316,10.7954228,
MN0386,2024-08-08,08:23:00,45.1511982,10.7986884,
MN0386,2024-05-08,10:33:00,45.1481798,10.795816,
MN0386,2024-08-08,08:25:00,45.1512496,10.7986459,
MN0022,2024-06-08,12:00:00,45.1432094,10.7685586,
MN0005,2024-08-08,14:15:00,45.1511057,10.7925968,
MN0005,2024-05-08,11:39:00,45.1475852,10.7949824,
MN0386,2024-05-08,09:27:00,45.1522666,10.7962885,
MN0233,2024-07-08,17:50:00,45.1416409,10.8663469,
MN0022,2024-09-08,10:26:00,45.1474128,10.7654065,
MN0022,2024-06-08,10:15:00,45.1445635,10.7682345,
MN0005,2024-06-08,14:54:00,45.142183,10.8630965,
MN0536,2024-08-08,08:50:00,45.1474383,10.7974848,
MN0022,2024-09-08,11:34:00,45.1460908,10.7660512,
MN0386,2024-06-08,11:09:00,45.1508877,10.7960656,
MN0233,2024-07-08,09:46:00,45.1400321,10.8580027,
MN0233,2024-07-08,09:46:00,45.1400321,10.8580027,
MN0409,2024-07-08,10:56:00,45.148379,10.7696939,
MN0386,2024-09-08,09:47:00,45.1536376,10.7960957,
MN0233,2024-08-08,11:12:00,45.1503867,10.7945342,
MN0409,2024-09-08,13:41:00,45.1445205,10.7598859,
MN0022,2024-07-08,14:22:00,45.1426677,10.7676404,
MN0005,2024-05-08,11:31:00,45.1475732,10.7949822,
MN0005,2024-06-08,15:40:00,45.1373372,10.8611068,
MN0005,2024-06-08,15:37:00,45.1370456,10.8605332,
MN0022,2024-06-08,11:11:00,45.1436362,10.7681241,
MN0005,2024-07-08,14:49:00,45.1491231,10.7883987,
MN0409,2024-09-08,11:29:00,45.1507103,10.7542179,
MN0233,2024-06-08,10:24:00,45.1550164,10.7978818,
MN0022,2024-09-08,13:02:00,45.1439541,10.7658687,
MN0536,2024-07-08,09:15:00,45.14377,10.7994011,
MN0536,2024-08-08,12:21:00,45.145547,10.7986243,
MN0536,2024-07-08,10:19:00,45.1437668,10.800164,
MN0022,2024-07-08,14:02:00,45.1428142,10.7681488,
MN0409,2024-08-08,08:50:00,45.1502928,10.764423,
MN0409,2024-08-08,09:12:00,45.1508558,10.7644635,
MN0386,2024-09-08,10:39:00,45.1546295,10.7965466,
MN0022,2024-05-08,08:29:00,45.1469119,10.7687593,
MN0536,2024-08-08,09:53:00,45.1473219,10.7972522,
MN0022,2024-06-08,09:27:00,45.1446424,10.7678586,
MN0386,2024-08-08,11:22:00,45.1535083,10.7977033,
MN0386,2024-07-08,08:10:00,45.151578,10.7967892,
MN0409,2024-09-08,12:10:00,45.1475668,10.7571046,
MN0005,2024-05-08,11:48:00,45.1473484,10.7950154,
MN0022,2024-07-08,09:35:00,45.1438924,10.7608968,
MN0536,2024-07-08,16:07:00,45.1447838,10.8024275,
MN0536,2024-07-08,16:07:00,45.1448765,10.8024657,
MN0233,2024-06-08,11:30:00,45.1811822,10.7948934,
MN0409,2024-06-08,13:13:00,45.1497311,10.7715344,
MN0536,2024-07-08,12:16:00,45.1446663,10.7990589,
MN0005,2024-06-08,15:46:00,45.1370269,10.8597791,
MN0536,2024-08-08,11:11:00,45.147942,10.7981314,
MN0233,2024-06-08,16:31:00,45.1319144,10.8533205,
MN0409,2024-08-08,13:23:00,45.1504074,10.7637044,
MN0022,2024-06-08,09:56:00,45.1439703,10.767562,
MN0409,2024-06-08,11:22:00,45.1524608,10.7718718,
MN0409,2024-06-08,11:44:00,45.1505994,10.7709375,
MN0536,2024-07-08,14:19:00,45.1485343,10.7976436,
MN0409,2024-06-08,13:59:00,45.1505962,10.7704579,
MN0386,2024-08-08,11:24:00,45.1538709,10.7972896,
MN0233,2024-07-08,16:44:00,45.1367066,10.8803222,
MN0536,2024-08-08,15:15:00,45.1466829,10.7988098,
MN0409,2024-08-08,09:34:00,45.1507326,10.7641243,
MN0233,2024-05-08,17:06:00,45.1417401,10.8635862,
MN0233,2024-06-08,10:36:00,45.1559066,10.7978489,
MN0386,2024-09-08,08:39:00,45.1550164,10.7978818,
MN0233,2024-05-08,09:53:00,45.1550164,10.7978818,
MN0233,2024-05-08,13:20:00,45.1532508,10.7947833,
MN0386,2024-07-08,08:02:00,45.1510109,10.793375,
MN0536,2024-08-08,09:19:00,45.1506571,10.7939848,
MN0022,2024-05-08,09:14:00,45.1486077,10.7710091,
MN0022,2024-09-08,08:59:00,45.1500735,10.7721704,
MN0022,2024-06-08,08:34:00,45.1456071,10.7683231,
MN0005,2024-07-08,13:37:00,45.1487405,10.7895333,
MN0525,2024-08-08,15:08:00,45.1465143,10.8002243,
MN0233,2024-05-08,11:49:00,45.1550606,10.7949254,
MN0386,2024-09-08,10:54:00,45.1551001,10.796843,
MN0005,2024-07-08,16:03:00,45.1492003,10.789168,
MN0005,2024-08-08,11:51:00,45.1511914,10.7923762,
MN0525,2024-08-08,15:45:00,45.1437303,10.7984175,
MN0386,2024-08-08,09:38:00,45.1504801,10.8004187,
MN0233,2024-08-08,13:42:00,45.1493234,10.7922526,
MN0005,2024-05-08,10:51:00,45.1485409,10.7914923,
MN0233,2024-07-08,11:15:00,45.13717,10.8741165,
MN0386,2024-09-08,13:29:00,45.1449655,10.7955741,
MN0409,2024-05-08,08:46:00,45.1219819,10.8603163,
MN0386,2024-08-08,09:11:00,45.1507756,10.7976593,
MN0386,2024-08-08,10:57:00,45.1590221,10.8023899,
MN0525,2024-08-08,10:51:00,45.1453802,10.7992118,
MN0525,2024-08-08,10:51:00,45.1453802,10.7992118,
MN0409,2024-09-08,13:25:00,45.1431314,10.7645718,
MN0386,2024-06-08,10:19:00,45.1496524,10.7957614,
MN0022,2024-06-08,09:47:00,45.1440632,10.7679347,
MN0409,2024-07-08,10:57:00,45.1486614,10.7700029,
MN0525,2024-08-08,08:13:00,45.1453027,10.7993937,
MN0386,2024-09-08,14:35:00,45.1449995,10.7984004,
MN0233,2024-08-08,12:09:00,45.1500364,10.793082,
MN0536,2024-08-08,12:45:00,45.1452827,10.7986541,
MN0536,2024-08-08,15:46:00,45.1464273,10.7991986,
MN0536,2024-08-08,15:46:00,45.1464564,10.7991881,
MN0386,2024-08-08,09:00:00,45.1507625,10.797586,
MN0022,2024-09-08,12:43:00,45.1434754,10.7663423,
MN0022,2024-06-08,10:09:00,45.1445896,10.7685251,
